time;gFx;gFy;gFz;TgF
1,189000;-0,1348;0,7854;0,5793;0,985
1,193000;-0,1318;0,7854;0,5790;0,985
1,199000;-0,1328;0,7861;0,5761;0,984
1,204000;-0,1335;0,7876;0,5776;0,986
1,220000;-0,1355;0,7888;0,5822;0,990
1,222000;-0,1350;0,7883;0,5803;0,988
1,223000;-0,1396;0,7901;0,5807;0,990
1,225000;-0,1387;0,7905;0,5798;0,990
1,233000;-0,1394;0,7908;0,5810;0,991
1,234000;-0,1411;0,7908;0,5805;0,991
1,244000;-0,1404;0,7908;0,5847;0,993
1,245000;-0,1348;0,7893;0,5854;0,992
1,250000;-0,1372;0,7888;0,5822;0,990
1,254000;-0,1367;0,7891;0,5832;0,991
1,262000;-0,1350;0,7910;0,5800;0,990
1,265000;-0,1350;0,7881;0,5825;0,989
1,270000;-0,1379;0,7876;0,5903;0,994
1,275000;-0,1367;0,7866;0,5925;0,994
1,280000;-0,1360;0,7869;0,5910;0,993
1,285000;-0,1387;0,7876;0,5905;0,994
1,291000;-0,1377;0,7883;0,5917;0,995
1,295000;-0,1350;0,7852;0,5903;0,992
1,300000;-0,1362;0,7891;0,5878;0,993
1,305000;-0,1365;0,7905;0,5881;0,995
1,310000;-0,1350;0,7896;0,5876;0,993
1,315000;-0,1345;0,7876;0,5866;0,991
1,321000;-0,1355;0,7901;0,5871;0,994
1,338000;-0,1340;0,7864;0,5861;0,990
1,339000;-0,1345;0,7825;0,5842;0,986
1,340000;-0,1338;0,7832;0,5815;0,985
1,341000;-0,1352;0,7844;0,5788;0,984
1,345000;-0,1311;0,7866;0,5751;0,983
1,350000;-0,1308;0,7888;0,5741;0,984
1,363000;-0,1321;0,7864;0,5756;0,983
1,364000;-0,1345;0,7871;0,5766;0,985
1,366000;-0,1338;0,7874;0,5744;0,984
1,371000;-0,1355;0,7849;0,5768;0,983
1,382000;-0,1392;0,7839;0,5785;0,984
1,384000;-0,1355;0,7876;0,5793;0,987
1,386000;-0,1370;0,7883;0,5822;0,990
1,392000;-0,1428;0,7881;0,5866;0,993
1,396000;-0,1467;0,7891;0,5864;0,994
1,402000;-0,1431;0,7876;0,5861;0,992
1,421000;-0,1428;0,7888;0,5876;0,994
1,423000;-0,1443;0,7891;0,5844;0,992
1,424000;-0,1453;0,7908;0,5859;0,995
1,425000;-0,1426;0,7891;0,5932;0,997
1,426000;-0,1416;0,7857;0,5898;0,993
1,432000;-0,1421;0,7871;0,5871;0,992
1,437000;-0,1372;0,7861;0,5890;0,992
1,449000;-0,1328;0,7866;0,5866;0,990
1,451000;-0,1345;0,7847;0,5854;0,988
1,452000;-0,1321;0,7854;0,5893;0,991
1,468000;-0,1306;0,7859;0,5881;0,990
1,470000;-0,1328;0,7835;0,5839;0,986
1,471000;-0,1345;0,7827;0,5864;0,987
1,476000;-0,1338;0,7830;0,5829;0,985
1,478000;-0,1343;0,7827;0,5795;0,983
1,482000;-0,1365;0,7871;0,5815;0,988
1,488000;-0,1335;0,7874;0,5832;0,989
1,493000;-0,1338;0,7896;0,5847;0,992
